Year,Value
2023,76559800.00
2022,84011400.00
2021,86288400.00
2020,85547000.00
2019,82014900.00
2018,77727700.00
2017,79083800.00
2016,65446600.00
2015,59453300.00
2014,55861100.00
2013,54877700.00
2012,49564700.00
2011,51308100.00
2010,52252400.00
2009,74952100.00
2008,63392700.00
2007,46605400.00
2006,44312900.00
2005,39469600.00
2004,41426900.00
2003,39951200.00
2002,43379000.00
2001,50779600.00
2000,52260000.00
